name;year;sex;births;prop;rank;rank_change_yoy
Aadhini;2022;f;2;5.59E-05;1849;
Aadhira;2019;f;3;8.34E-05;1350;
Aadhira;2020;f;1;2.80E-05;1906;-556
Aadhira;2021;f;2;5.35E-05;1600;306
Aadhira;2022;f;4;0.000111832;1199;401
Aadhya;2011;f;1;3.06E-05;1625;
Aadhya;2014;f;2;5.74E-05;1480;
Aadhya;2015;f;1;2.81E-05;1769;-289
Aadhya;2020;f;2;5.61E-05;1612;
Aadhya;2021;f;2;5.35E-05;1600;12
Aadhya;2022;f;3;8.39E-05;1431;169
Aadisha;2022;f;2;5.59E-05;1849;
Aadya;2010;f;1;3.07E-05;1591;
Aadya;2012;f;1;3.00E-05;1683;
Aadya;2013;f;4;0.000119019;1078;605
Aadya;2014;f;1;2.87E-05;1747;-669
Aadya;2016;f;1;2.75E-05;1839;
Aadya;2018;f;1;2.74E-05;1882;
Aadya;2019;f;2;5.56E-05;1606;276
Aadya;2020;f;1;2.80E-05;1906;-300
Aadya;2021;f;2;5.35E-05;1600;306
Aadya;2022;f;3;8.39E-05;1431;169
Aahana;2008;f;1;3.27E-05;1459;
Aahana;2011;f;1;3.06E-05;1625;
Aahana;2016;f;1;2.75E-05;1839;
Aahana;2018;f;1;2.74E-05;1882;
Aahana;2020;f;1;2.80E-05;1906;
Aahana;2022;f;2;5.59E-05;1849;
Aaliyah;2000;f;2;6.67E-05;976;
Aaliyah;2001;f;2;7.08E-05;948;28
Aaliyah;2002;f;15;0.000532614;388;560
Aaliyah;2003;f;18;0.000642903;344;44
Aaliyah;2004;f;17;0.000588317;368;-24
Aaliyah;2005;f;20;0.00069197;327;41
Aaliyah;2006;f;15;0.00051557;407;-80
Aaliyah;2007;f;14;0.000469657;439;-32
Aaliyah;2008;f;11;0.000359771;540;-101
Aaliyah;2009;f;14;0.0004465;469;71
Aaliyah;2010;f;14;0.000429843;480;-11
Aaliyah;2011;f;28;0.000858132;255;225
Aaliyah;2012;f;16;0.00048061;423;-168
Aaliyah;2013;f;20;0.000595096;353;70
Aaliyah;2014;f;34;0.00097505;219;134
Aaliyah;2015;f;25;0.000703077;310;-91
